WKT,id,
"LINESTRING (695205.717911373125389 6865672.389901447109878,695191.320302699576132 6865667.742623102851212,695178.61371849803254 6865668.576059189625084,695113.740236070938408 6865682.897214845754206,695077.813783506397158 6865686.263601550832391,695052.640509972232394 6865685.362108962610364,695036.871964481775649 6865681.105580571107566,695027.510515032801777 6865675.097772302106023)",37
"LINESTRING (694737.629356260411441 6865686.273679829202592,694741.793632591608912 6865685.624944940209389)",38
"LINESTRING (694741.793632591608912 6865685.624944940209389,694752.957721454207785 6865681.956384921446443)",39
"LINESTRING (694752.957721454207785 6865681.956384921446443,694768.615741075947881 6865677.271877743303776,694788.194102257373743 6865669.714960888028145,694861.582114875433035 6865641.227026256732643,694913.530388805782422 6865621.165428816340864)",40
"LINESTRING (694913.530388805782422 6865621.165428816340864,694931.533632824895903 6865614.766848512925208,694943.313450434943661 6865610.564366262406111)",41
"LINESTRING (694949.187200153828599 6865686.596776630729437,694942.965857842937112 6865691.127987751737237,694938.81266702839639 6865696.09107185062021)",42
"LINESTRING (694938.81266702839639 6865696.09107185062021,694927.968794461339712 6865713.847850589081645,694924.141370944445953 6865722.357895186170936,694922.480687499046326 6865735.035989168100059,694916.495343412854709 6865832.8960340321064,694915.605694137280807 6865905.264932992868125)",43
"LINESTRING (695027.510515032801777 6865675.097772302106023,695021.946691983030178 6865668.38616241235286,695006.95167544845026 6865642.890136036090553,694993.635555712855421 6865617.237023932859302,694987.899792312295176 6865606.833809423260391,694983.269383103819564 6865602.756835951469839)",44
"LINESTRING (694983.269383103819564 6865602.756835951469839,694975.9787817443721 6865600.472469157539308,694969.724643123685382 6865601.145090044476092,694957.110042003216222 6865606.693746642209589,694943.313450434943661 6865610.564366262406111)",45
"LINESTRING (693009.681044360157102 6865119.777208208106458,693027.212270610616542 6865157.586992789059877)",46
"LINESTRING (693027.212270610616542 6865157.586992789059877,693037.961927492986433 6865181.325973222032189,693071.091674599563703 6865251.234365751966834)",47
"LINESTRING (693224.180831397301517 6865346.583052763715386,693288.867223043460399 6865340.754805559292436,693328.54106592934113 6865336.627982222475111)",48
"LINESTRING (693027.212270610616542 6865157.586992789059877,693199.231186530319974 6865080.188715565949678,693277.210212664213032 6865045.948750642128289)",49
"LINESTRING (693277.210212664213032 6865045.948750642128289,693295.365897497860715 6865038.210560536943376,693306.083091396722011 6865034.628706445917487,693323.352401387761347 6865034.019419578835368,693349.923391718766652 6865036.023766625672579)",50
"LINESTRING (693277.210212664213032 6865045.948750642128289,693268.275133061921224 6865043.290379419922829,693234.868744436302222 6864996.715125324204564,693138.530082581331953 6864866.782551040872931,693134.109485525405034 6864860.790321192704141)",51
"LINESTRING (693506.417122652055696 6865522.368590819649398,693577.271686280495487 6865498.97428241558373,693694.541647026198916 6865456.089613762684166,693812.104125745012425 6865410.838500483892858,693880.181118324049748 6865312.489124193787575,693920.313272109138779 6865241.435687054879963)",52
"LINESTRING (693850.314215573132969 6865736.558393435552716,693887.470490652834997 6865729.608888135291636,694025.300895312568173 6865703.333350734785199,694158.658827170729637 6865676.18714326992631,694271.48481286491733 6865654.401821178384125,694277.444124960107729 6865659.744577150791883,694289.980645059491508 6865694.759740734472871,694317.31483541300986 6865783.013414656743407)",53
"LINESTRING (695363.346211875090376 6865409.303908384405077,695312.910049605998211 6865443.389075527898967,695304.107771342853084 6865448.856044819578528)",54
"LINESTRING (694116.216638295794837 6864839.994263082742691,694117.870869078207761 6864841.6528584016487,694151.35067645041272 6864879.948829130269587,694182.316440166090615 6864912.72099706158042,694219.358612693147734 6864942.818520944565535,694265.891150371055119 6864981.647038636729121,694311.355541655560955 6865023.679492047987878,694370.422535976860672 6865088.338987291790545,694429.504295679857023 6865162.095105619169772,694449.55014892690815 6865181.869113899767399,694468.512946965172887 6865196.462397585622966,694505.19119824655354 6865217.466157932765782,694681.583927119267173 6865315.722948321141303,694728.040174896246754 6865341.889884025789797)",55
"LINESTRING (694728.040174896246754 6865341.889884025789797,694730.248523222631775 6865343.133293940685689,694735.594851859030314 6865343.806739891879261)",56
"LINESTRING (694203.284748603124171 6865266.198436060920358,694149.182316346094012 6865339.521346803754568,694136.69718094507698 6865356.847542632371187)",57
"LINESTRING (694712.46549061127007 6865519.087471747770905,694714.010518634924665 6865548.831634005531669,694716.178781075868756 6865570.513348188251257,694717.452158676809631 6865575.805231993086636)",58
"LINESTRING (694752.957721454207785 6865681.956384921446443,694737.352847368223593 6865632.142492874525487,694724.803980394965038 6865596.848396025598049,694717.452158676809631 6865575.805231993086636)",59
"LINESTRING (694728.040174896246754 6865341.889884025789797,694720.247354552149773 6865360.278053095564246,694709.532856608857401 6865391.178709376603365,694705.501244689454325 6865408.829561741091311,694704.628491350216791 6865424.709476662799716,694707.591137735405937 6865481.062081548385322,694712.46549061127007 6865519.087471747770905)",60
"LINESTRING (694735.594851859030314 6865343.806739891879261,694787.345728418906219 6865338.211128701455891,694797.993603270384483 6865338.690825001336634,694813.601982181426138 6865343.002434399910271,694826.361244783853181 6865351.141850241459906,694855.101436923374422 6865370.37577778659761,694866.255219461396337 6865379.128300459124148,694897.109679010580294 6865409.713911140337586,694908.041674613719806 6865416.576341467909515)",61
"LINESTRING (694652.487020151689649 6865760.721298962831497,694653.331859982921742 6865754.52675623446703,694648.304795821779408 6865710.152045181021094)",62
"LINESTRING (694910.81522824219428 6865335.121180225163698,694911.929180969018489 6865317.684321718290448,694917.384467266499996 6865300.466049934737384,694946.489255550317466 6865250.190125058405101,694955.127225500415079 6865232.924642447382212,694956.783427004469559 6865223.709628727287054)",63
